"","Year","Temp","GHG","AerosolDirect","AerosolIndirect","Volcanic","Solar","ENSO","AMV","PDO"
"1",1900,-0.07,0.345509,0.00988493,-0.0505623,0.0485978,-0.0700309,0.936961805555555,0.206131408303948,0.400401652603875
"2",1901,-0.15,0.356227,0.0118061,-0.0567486,0.0718372,-0.0822692,0.145555555555555,0.15054007822294,0.535033943345582
"3",1902,-0.27,0.368513,0.0137502,-0.062822,-0.533491,-0.081052,0.146805555555555,0.530401957641905,0.630373456509233
"4",1903,-0.37,0.379869,0.0156924,-0.0690828,-1.70365,-0.0488517,0.701440972222222,-0.270714460717484,-0.0907345068731047
"5",1904,-0.46,0.393116,0.0176445,-0.0748355,-0.655162,-0.00693334,-0.411527777777778,-0.11273753131142,-0.0556797721851581
"6",1905,-0.26,0.406412,0.0196058,-0.0816717,-0.200895,-0.0395185,0.698524305555556,0.0973134640153361,0.818150547597838
"7",1906,-0.22,0.421705,0.0215485,-0.0866628,-0.0837799,-0.00697252,0.530503472222222,0.413644961191881,0.643777870928147
"8",1907,-0.38,0.435055,0.0234979,-0.0940617,-0.134668,-0.0262513,-0.510642361111111,0.407900277463952,-0.15451347317719
"9",1908,-0.42,0.448971,0.0254569,-0.0980336,-0.126084,-0.0145493,-0.321475694444445,0.729940112198719,1.03537698236767
"10",1909,-0.48,0.462758,0.0274194,-0.106144,0.00494716,-0.0319234,-0.735694444444445,0.842052676310051,0.730647030291493
"11",1910,-0.43,0.476666,0.0293867,-0.112573,0.0210546,-0.0512644,-1.04871527777778,0.934404373538454,-0.257049948813119
"12",1911,-0.44,0.489446,0.030172,-0.112781,0.0549479,-0.0636479,-0.694392361111111,0.667760914159498,-0.290234744052782
"13",1912,-0.36,0.501816,0.0309664,-0.110116,-0.395139,-0.0708097,0.425503472222223,-0.00874790180365215,-0.757239156126786
"14",1913,-0.34,0.515625,0.0317622,-0.110185,-0.489151,-0.0679903,-0.146111111111111,0.175544889198157,0.335188911041712
"15",1914,-0.15,0.528264,0.0325645,-0.109587,-0.146136,-0.0582561,0.468368055555556,0.131560863860755,0.346576419494568
"16",1915,-0.14,0.540389,0.0333601,-0.111062,-0.003287,-0.0123102,0.523888888888889,0.647896620212973,-0.0102656127384648
"17",1916,-0.36,0.553295,0.0341474,-0.110075,0.021564,0.0204343,-0.421423611111111,0.914746934416316,-0.245081919229278
"18",1917,-0.46,0.56711,0.034954,-0.110869,0.0363441,0.040524,-0.838819444444444,1.00934482672367,-1.07380359267722
"19",1918,-0.29,0.580473,0.0357322,-0.110598,0.0429854,0.0362706,-0.320173611111111,0.353041659700032,-0.881347201878327
"20",1919,-0.27,0.593571,0.0365429,-0.111727,0.0409431,0.000571708,0.863524305555556,0.734636523441123,0.173427103684787
"21",1920,-0.27,0.606636,0.0373151,-0.1106,-0.158322,-0.0232298,0.227743055555556,0.256292043554398,-0.358140557937475
"22",1921,-0.19,0.620942,0.0358934,-0.11654,-0.0980913,-0.0390244,-0.258454861111111,0.360484165110788,-0.306843175085135
"23",1922,-0.28,0.635716,0.034468,-0.119885,0.0205751,-0.057098,-0.341423611111111,0.419365176827531,0.750957822053749
"24",1923,-0.26,0.649049,0.0330349,-0.122071,0.0619178,-0.0511571,-0.363454861111111,0.603849134619595,0.397349617471264
"25",1924,-0.27,0.663913,0.0316048,-0.122348,0.00178495,-0.0471533,0.109357638888889,0.624780849319702,0.700120302966127
"26",1925,-0.22,0.680342,0.0301782,-0.127624,0.0180073,-0.0171284,-0.413454861111111,0.539565766601281,0.0421260588087762
"27",1926,-0.11,0.695664,0.0287653,-0.130785,0.0304028,-0.00272552,0.939253472222223,0.345992037466771,0.663806235405445
"28",1927,-0.22,0.711065,0.0273481,-0.137062,0.0543766,0.0266538,-0.170850694444444,0.644973734227312,1.12440443481358
"29",1928,-0.2,0.727568,0.0259233,-0.141032,-0.0525979,0.00614624,0.000607638888889039,0.422116438242044,0.585631651972164
"30",1929,-0.36,0.744016,0.0245112,-0.146195,-0.162669,0.000254582,-0.0721527777777779,0.584710193141765,0.743971173599732
"31",1930,-0.16,0.758532,0.0230903,-0.150697,-0.0641596,0.000256878,0.386701388888888,0.40854369609899,0.129151351477958
"32",1931,-0.09,0.774692,0.0221078,-0.15479,-0.0285104,-0.0179905,0.984201388888889,0.835990585988051,0.772108026908938
"33",1932,-0.16,0.790482,0.021115,-0.157293,-0.124306,-0.0344059,-0.0552256944444444,1.15446540871206,0.126666246511547
"34",1933,-0.28,0.805231,0.0201262,-0.159291,-0.0746886,-0.0534787,-0.311736111111111,1.06241075154903,0.0644681826223064
