"","Year","GHG","AerosolDirect","AerosolIndirect","Ozone","TotalAF","Volcanic","Solar","ENSO"
"1",1850,0,0,0,0,0,0,0,NA
"2",1851,0.00595381,0.00064918,-4.97297e-06,0.0007451,0.00734311703,0.0290878,0.00116604,NA
"3",1852,0.0105023,0.00064918,-4.97297e-06,0.0009093,0.01205580703,0.0567119,-0.0107559,NA
"4",1853,0.0145867,0.00064918,-4.97297e-06,0.0010197,0.01625060703,0.0772597,-0.0272202,NA
"5",1854,0.0205211,0.00064918,-4.97297e-06,0.0011879,0.02235320703,0.0857585,-0.0455392,NA
"6",1855,0.0247824,0.00064918,-4.97297e-06,0.0012908,0.02671740703,0.0210179,-0.0571712,NA
"7",1856,0.0301393,0.00064918,-4.97297e-06,0.0014069,0.03219040703,-0.94034,-0.0567553,NA
"8",1857,0.0349641,0.00064918,-4.97297e-06,0.001574,0.03718230703,-1.43977,-0.0404164,NA
"9",1858,0.0407275,0.00064918,-4.97297e-06,0.0016897,0.04306140703,-0.619864,-0.0116768,NA
"10",1859,0.0469391,0.00064918,-4.97297e-06,0.0018438,0.04942710703,-0.188948,0.0207578,NA
"11",1860,0.051305,0.00064918,-4.97297e-06,0.0019536,0.05390280703,-0.0224105,0.0306724,NA
"12",1861,0.0572548,0.00064918,-4.97297e-06,0.0021065,0.06000550703,-0.0036929,0.0142627,NA
"13",1862,0.0613428,0.00064918,-4.97297e-06,0.0022241,0.06421110703,-0.261939,-0.00811888,NA
"14",1863,0.06591,0.00064918,-4.97297e-06,0.0023757,0.06892990703,-0.159886,-0.0206817,NA
"15",1864,0.0713865,0.00064918,-4.97297e-06,0.0024891,0.07451980703,-0.0236355,-0.0301546,NA
"16",1865,0.0760711,0.00064918,-4.97297e-06,0.0026446,0.07935990703,0.0429983,-0.0435712,NA
"17",1866,0.0804775,0.00064918,-4.97297e-06,0.0028035,0.08392520703,0.072114,-0.0531423,NA
"18",1867,0.0843025,0.00064918,-4.97297e-06,0.0029118,0.08785850703,0.0836421,-0.0608948,NA
"19",1868,0.0888651,0.00064918,-4.97297e-06,0.0030743,0.09258360703,0.0874486,-0.0371051,NA
"20",1869,0.0943747,0.00064918,-4.97297e-06,0.0031691,0.09818800703,0.0767415,-0.00194151,NA
