FIPS,County,State,2012,2013,2014,2015
1001,Autauga,AL,1383941,1322416,1312668,1412939
1003,Baldwin,AL,5599194,6218819,6247887,5981958
1005,Barbour,AL,639833,687532,663462,708778
1007,Bibb,AL,297560,314380,305472,291780
1009,Blount,AL,632761,683949,661352,778131
1011,Bullock,AL,191052,185250,170520,169621
1013,Butler,AL,514216,510470,488051,510960
1015,Calhoun,AL,4073476,3918440,3780726,3750456
1017,Chambers,AL,567650,613470,653977,667159
1019,Cherokee,AL,443582,467206,435311,412342
1021,Chilton,AL,715347,764758,737867,739287
1023,Choctaw,AL,524082,488313,501011,470631
1025,Clarke,AL,700361,708413,710848,717501
1027,Clay,AL,232085,261017,261037,265276
1029,Cleburne,AL,249914,248261,254896,284071
1031,Coffee,AL,1084201,1088751,1112386,1237578
1033,Colbert,AL,2393641,2640273,2757890,2876934
1035,Conecuh,AL,256668,258811,248926,246082
1037,Coosa,AL,118371,123568,128630,125727
1039,Covington,AL,978150,1022605,997884,999820
1041,Crenshaw,AL,387037,418156,375890,382326
1043,Cullman,AL,2301223,2364721,2314983,2299075
1045,Dale,AL,2756921,2819437,2689058,2676064
1047,Dallas,AL,1125070,1112684,1090446,1042780
1049,DeKalb,AL,1485948,1688899,1656070,1684337
1051,Elmore,AL,1396129,1497274,1511276,1537004
1053,Escambia,AL,1056880,1038718,1015770,996597
1055,Etowah,AL,2607155,2580422,2529908,2537130
1057,Fayette,AL,260930,264086,261565,262842
1059,Franklin,AL,720181,780664,705590,702000
1061,Geneva,AL,406627,430780,418366,437309
1063,Greene,AL,246604,230026,223915,198632
1065,Hale,AL,226473,264111,242492,251413
1067,Henry,AL,259333,290103,297272,294677
1069,Houston,AL,4122576,4164957,4104867,4030351
1071,Jackson,AL,1327414,1371337,1352030,1254897
1073,Jefferson,AL,42005734,41051828,40026017,40267211
1075,Lamar,AL,276202,265718,255999,245499
1077,Lauderdale,AL,2325961,2402292,2350008,2298453
1079,Lawrence,AL,728868,679450,587433,477055
1081,Lee,AL,4668575,5206210,5405859,5980010
1083,Limestone,AL,2704953,2862219,2988146,3150965
1085,Lowndes,AL,357630,383814,361485,337731
1087,Macon,AL,437454,438399,399303,387698
1089,Madison,AL,20870718,20963910,21209589,21398559
