0,1,2,3,4,5,6
0.81,9.1,308.171,4.450678041095193,332.0,0.1,0.05
0.86,8.5,47.736,3.1379985279180524,173.0,0.09,0.06
0.6,10.3,1438.159,2.999719387308961,621.0,0.12,0.1
0.83,8.9,197.349,3.744002541713235,286.0,0.09,0.07
0.84,9.3,78.6,3.412695485787121,181.0,0.09,0.07
0.81,8.3,78.823,3.358125205468859,194.0,0.11,0.06
0.83,9.6,132.053,3.464447000687359,232.0,0.09,0.07
0.73,8.3,87.77,3.6786245337540193,202.0,0.1,0.06
0.84,8.2,49.426,3.491774288822284,125.0,0.09,0.06
0.85,6.7,81.632,3.6189688261536337,129.0,0.11,0.07
0.83,8.5,62.122,3.4968401848486783,142.0,0.1,0.05
0.83,7.9,49.024,3.534008119224618,116.0,0.1,0.06
0.83,7.9,46.581,3.4579483376945634,142.0,0.1,0.07
0.85,9.3,296.579,3.6771010006140044,213.0,0.09,0.05
0.82,10.7,922.835,3.9320815036559607,448.0,0.1,0.06
0.86,6.6,38.679,3.460362479140015,142.0,0.11,0.07
0.83,7.4,51.262,3.3493193720156382,121.0,0.1,0.07
0.74,8.0,54.105,3.183372654775784,113.0,0.1,0.08
0.89,9.1,59.162,3.5166646918075135,182.0,0.1,0.06
0.86,8.2,47.967,3.5737037955793185,223.0,0.11,0.07
0.96,6.6,4.715,3.3961937212513242,63.0,0.11,0.07
0.81,7.8,63.744,3.1003029913342903,213.0,0.1,0.07
0.85,7.8,119.103,3.9460208108918655,163.0,0.1,0.08
0.69,10.1,2621.793,3.171611259934795,621.0,0.1,0.08
0.88,7.0,27.22,3.3369429249993345,103.0,0.09,0.08
0.89,8.5,64.586,3.290750037642391,91.0,0.09,0.06
0.83,8.0,72.369,3.233966242521695,96.0,0.09,0.06
0.83,8.9,749.857,3.989075269673863,345.0,0.09,0.06
0.77,8.2,49.779,3.4010091989341626,109.0,0.11,0.08
0.91,10.0,1358.627,4.131187825648866,163.0,0.08,0.05
0.7,10.8,1636.268,5.928851329200977,621.0,0.07,0.06
0.83,11.0,213.525,3.657745890750858,379.0,0.09,0.07
0.82,8.1,232.871,3.6423049821591795,255.0,0.11,0.06
0.81,8.2,468.196,4.012776315080229,341.0,0.09,0.06
0.89,8.5,109.707,3.8229831168072215,132.0,0.08,0.05
0.86,9.0,376.099,3.5703717622474858,254.0,0.1,0.06
0.85,9.0,41.984,3.2740444130953774,145.0,0.1,0.08
0.8,8.2,120.913,3.9153388981502864,164.0,0.12,0.08
0.85,7.8,61.128,3.4371248103254444,127.0,0.1,0.06
0.92,9.3,99.487,3.295747887085759,50.0,0.08,0.05
0.71,8.1,2321.58,3.4464852377064448,621.0,0.11,0.06
0.87,9.1,159.774,3.4864377649697067,297.0,0.09,0.05
0.79,9.8,473.279,3.2229541353570403,621.0,0.1,0.07
0.86,9.7,323.866,4.025947604031224,135.0,0.1,0.05
0.89,9.4,224.921,2.5549144736895375,80.0,0.09,0.05
0.79,9.0,155.735,4.045278169581792,429.0,0.08,0.05
0.81,7.5,31.566,5.422199878356492,68.0,0.1,0.07
0.81,8.0,18.479,3.5843318434037736,86.0,0.11,0.07
0.83,8.3,34.884,2.4359226100434346,209.0,0.1,0.06
0.82,7.9,111.4,2.300952702122783,114.0,0.09,0.08
0.84,7.9,98.394,3.7942846361319718,148.0,0.12,0.07
0.89,9.0,1502.968,3.9523489195884594,130.0,0.09,0.05
0.78,8.4,75.943,3.369370551523346,238.0,0.11,0.07
0.83,8.7,49.87,3.340569125389547,72.0,0.11,0.06
0.86,8.2,104.691,3.9319554180309573,123.0,0.08,0.04
0.83,8.9,180.445,3.6051351493407666,166.0,0.08,0.06
0.83,8.5,64.973,3.9237420419571607,124.0,0.1,0.07
0.82,8.9,62.372,3.12525062243443,121.0,0.11,0.06
0.88,8.6,92.051,3.4863919923485938,159.0,0.11,0.06
0.88,10.4,972.634,4.253827542075515,237.0,0.09,0.05
0.9,8.8,41.188,3.558380404859219,108.0,0.09,0.07
0.86,7.9,25.208,3.1625556356087974,72.0,0.11,0.06
0.85,10.4,1610.921,4.150268733515022,629.0,0.08,0.06
0.89,8.9,36.742,3.4451546227233583,237.0,0.09,0.08
0.86,8.9,224.241,3.3869383702659466,327.0,0.09,0.09
0.94,9.0,44.624,2.8079850347294384,327.0,0.1,0.08
0.91,8.7,21.419,4.02041482474239,201.0,0.1,0.18
0.89,11.6,1111.339,4.1292670810261365,336.0,0.09,0.06
0.35,8.5,27.212,3.053131667224604,609.0,0.09,0.1
0.92,9.3,183.087,3.471514065513939,218.0,0.08,0.07
0.82,15.3,965.974,3.6522282102255703,542.0,0.1,0.12
0.77,9.1,27.955,3.5214942631134987,408.0,0.08,0.11
0.86,8.8,134.809,3.377534677895928,432.0,0.08,0.07
0.85,13.5,179.091,3.562187689026821,366.0,0.09,0.24
0.3,7.3,18.41,3.8409790678702183,600.0,0.09,0.07
0.83,19.7,874.589,3.8756955825158683,545.0,0.09,0.1
0.83,16.7,150.269,3.604804065703218,443.0,0.07,0.12
0.86,6.9,64.184,3.0784296773949724,535.0,0.1,0.09
0.85,7.4,31.749,3.46271451570154,587.0,0.08,0.09
0.79,14.2,10116.705,4.132226947060373,488.0,0.09,0.08
0.83,14.0,154.548,3.4760498598536547,620.0,0.08,0.11
0.92,10.3,260.75,4.309203123772055,178.0,0.07,0.04
0.92,9.2,17.682,3.187531173772669,431.0,0.1,0.09
0.84,8.8,87.869,3.360406920329338,640.0,0.08,0.07
0.87,12.0,266.353,3.37013285912177,555.0,0.09,0.13
0.89,6.6,9.023,3.2239653669411585,505.0,0.1,0.11
0.32,6.1,13.997,3.8736375509793786,262.0,0.07,0.07
0.85,6.7,431.344,3.851601275320537,421.0,0.07,0.09
0.89,10.6,141.667,4.016939367038413,398.0,0.08,0.06
0.47,8.1,98.893,3.6300714343378067,264.0,0.09,0.07
0.9,10.6,3145.515,4.276551244282322,214.0,0.08,0.06
0.9,10.5,371.694,3.8609955990166775,162.0,0.08,0.06
0.88,9.9,18.606,3.560786174205791,575.0,0.1,0.12
0.87,14.8,2329.271,3.3406570262234405,291.0,0.09,0.08
0.81,9.1,1482.026,3.89727848130717,508.0,0.09,0.07
0.89,6.2,58.267,3.3533237829190394,299.0,0.08,0.09
0.81,14.9,2112.619,3.4584148165148316,442.0,0.09,0.08
0.82,10.4,3263.431,4.106130304163778,328.0,0.07,0.06
0.72,9.8,852.469,5.059744238575427,760.0,0.08,0.04
0.82,11.9,715.597,3.477414624786061,787.0,0.11,0.11
0.92,10.5,279.083,3.8759430399347696,408.0,0.08,0.06
0.88,9.2,758.581,4.7629461990885025,209.0,0.09,0.04
0.88,10.2,440.668,3.9502027547683602,318.0,0.07,0.06
0.84,8.9,1894.605,4.797065120395284,264.0,0.08,0.05
0.87,7.5,271.804,3.745573465194325,410.0,0.08,0.09
0.86,8.4,179.804,3.489862155854983,726.0,0.08,0.1
0.9,9.6,43.628,3.2989568981336737,344.0,0.1,0.11
0.84,11.0,431.131,3.8528411320560836,476.0,0.1,0.08
0.83,10.1,500.292,3.794600908798997,368.0,0.08,0.06
0.85,12.3,531.997,3.5258299740084396,578.0,0.09,0.11
0.84,9.4,95.847,3.456451317272791,352.0,0.09,0.13
0.89,8.7,63.067,3.1290593982466643,540.0,0.11,0.1
0.88,7.8,13.17,2.9490560465648183,380.0,0.1,0.1
0.85,17.8,458.198,3.405190941957922,382.0,0.07,0.13
0.89,8.9,53.831,3.451711918102729,316.0,0.09,0.09
0.85,11.2,846.178,4.064331965451922,240.0,0.08,0.07
0.89,9.8,207.59,3.990800082074994,332.0,0.07,0.08
0.77,9.6,73.966,3.438332844519594,414.0,0.08,0.11
0.87,11.0,113.847,3.4549977272022794,219.0,0.11,0.05
0.83,8.3,15.353,3.0348296005526083,195.0,0.13,0.11
0.87,11.2,59.281,3.0803202529313016,152.0,0.1,0.05
0.8,9.5,106.179,3.441221084398417,296.0,0.11,0.07
0.68,11.8,155.233,3.7428062653748873,430.0,0.11,0.07
0.82,11.8,43.545,3.215223278867416,226.0,0.1,0.07
0.75,11.5,134.878,3.7201645763869307,577.0,0.12,0.06
0.82,12.9,51.608,2.7594954629634594,169.0,0.11,0.07
0.86,8.3,30.652,3.1103013690219745,307.0,0.13,0.1
0.89,10.6,77.297,3.029209613586778,108.0,0.1,0.05
0.78,10.9,108.579,3.5220850544598403,190.0,0.12,0.06
0.76,10.2,412.895,3.394208208777225,765.0,0.12,0.08
0.85,8.4,25.411,2.691965183670625,240.0,0.15,0.09
0.84,9.7,41.665,3.3325267568543953,179.0,0.1,0.07
0.79,11.3,45.83,3.262118382986175,192.0,0.13,0.07
0.89,9.0,32.065,3.6417662706760545,169.0,0.11,0.07
0.76,10.6,284.582,3.8771977372248,553.0,0.09,0.06
0.81,10.6,64.294,3.0036124568452864,187.0,0.1,0.06
0.72,7.9,25.42,3.0326694700096755,228.0,0.12,0.1
0.79,9.1,70.616,3.413138658252783,198.0,0.08,0.06
0.8,11.0,159.741,3.3847620885871046,382.0,0.11,0.07
0.77,11.7,258.818,3.8144326429609396,458.0,0.09,0.06
0.78,11.5,629.237,4.035957342443833,378.0,0.09,0.05
0.86,10.3,88.153,2.983109981466827,164.0,0.11,0.1
0.86,10.8,99.047,3.151678467097969,217.0,0.12,0.06
0.87,10.8,185.596,3.407742686614924,101.0,0.09,0.07
0.81,11.0,860.112,3.639183481748035,293.0,0.1,0.08
0.82,8.4,28.824,3.432634369821858,299.0,0.1,0.07
0.79,8.9,43.186,3.160758361766378,551.0,0.1,0.08
0.87,9.4,83.427,3.8602989865327353,123.0,0.1,0.06
0.83,11.0,149.824,3.61239549239739,256.0,0.11,0.06
